                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.1108,3.2431,1.5117,0.00967,0.89292,0.19883,0.10753,1.0995,3.6846,1.6443,0.00024442,0.00024442,0.00024442
2,1.1199,2.3838,1.5392,0.24877,0.17879,0.15193,0.08067,1.5658,3.4872,2.121,0.00049005,0.00049005,0.00049005
3,1.1569,2.176,1.5494,0.63073,0.22303,0.20734,0.09037,1.5533,2.9373,2.2895,0.00072556,0.00072556,0.00072556
4,1.203,2.1233,1.5757,0.31282,0.13002,0.08752,0.03846,1.7429,3.2628,2.5184,0.00095096,0.00095096,0.00095096
5,1.2417,2.0557,1.5978,0.19415,0.26108,0.16954,0.07657,2.0126,3.0076,3.0059,0.001023,0.001023,0.001023
6,1.2362,1.9576,1.5935,0.55518,0.18318,0.12413,0.0482,2.1362,3.0192,2.7985,0.001023,0.001023,0.001023
7,1.2087,1.8517,1.5872,0.21375,0.25824,0.16688,0.07051,1.6957,3.6406,2.362,0.001001,0.001001,0.001001
8,1.1905,1.7858,1.5537,0.37021,0.15911,0.07429,0.03589,1.8962,5.1257,2.6808,0.00097901,0.00097901,0.00097901
9,1.1503,1.6781,1.5247,0.33073,0.29866,0.28698,0.15521,1.6407,2.5045,2.2196,0.00095702,0.00095702,0.00095702
10,1.1563,1.6505,1.5365,0.60066,0.19884,0.16419,0.07676,1.8632,2.6906,2.3652,0.00093502,0.00093502,0.00093502
11,1.1301,1.6085,1.524,0.37911,0.34478,0.31358,0.14938,1.7746,2.2353,2.4945,0.00091302,0.00091302,0.00091302
12,1.1221,1.5668,1.5054,0.33887,0.37863,0.27298,0.13299,1.7031,2.4366,2.1484,0.00089102,0.00089102,0.00089102
13,1.1076,1.5568,1.497,0.30023,0.41461,0.33939,0.20055,1.5853,2.0591,2.1572,0.00086902,0.00086902,0.00086902
14,1.0785,1.4793,1.4665,0.39868,0.35872,0.29149,0.1612,1.593,2.1204,2.0319,0.00084703,0.00084703,0.00084703
15,1.0638,1.4654,1.4526,0.33189,0.33438,0.32444,0.19985,1.4995,2.2016,1.99,0.00082503,0.00082503,0.00082503
16,1.0608,1.4277,1.4587,0.54098,0.51696,0.49323,0.29863,1.3916,1.6652,1.8963,0.00080303,0.00080303,0.00080303
17,1.0592,1.3648,1.4559,0.38054,0.46021,0.42447,0.26075,1.3526,1.6616,1.8106,0.00078103,0.00078103,0.00078103
18,1.0142,1.3361,1.4259,0.38943,0.51788,0.46952,0.29521,1.341,1.5897,1.777,0.00075904,0.00075904,0.00075904
19,1.029,1.361,1.4425,0.36512,0.5037,0.41804,0.25805,1.453,1.8588,1.8778,0.00073704,0.00073704,0.00073704
20,1.0026,1.2954,1.4251,0.43214,0.47853,0.44649,0.25563,1.3996,1.6988,1.8611,0.00071504,0.00071504,0.00071504
21,0.99276,1.3352,1.4026,0.42797,0.54836,0.46518,0.29153,1.3913,1.6608,1.9361,0.00069304,0.00069304,0.00069304
22,0.98657,1.2743,1.403,0.48732,0.59182,0.55981,0.35561,1.3487,1.5485,1.8431,0.00067104,0.00067104,0.00067104
23,0.98641,1.2665,1.4047,0.36959,0.44746,0.42485,0.2516,1.4465,1.7519,1.8922,0.00064905,0.00064905,0.00064905
24,0.96571,1.2392,1.3918,0.48691,0.59917,0.5713,0.37637,1.2677,1.3707,1.7432,0.00062705,0.00062705,0.00062705
25,0.95299,1.2055,1.3802,0.52465,0.49493,0.51888,0.32784,1.2825,1.5324,1.7544,0.00060505,0.00060505,0.00060505
26,0.93177,1.1723,1.3582,0.39157,0.47425,0.43596,0.27631,1.2422,1.589,1.7103,0.00058305,0.00058305,0.00058305
27,0.93441,1.1563,1.3616,0.53182,0.50677,0.50511,0.33371,1.2893,1.533,1.7706,0.00056105,0.00056105,0.00056105
28,0.91712,1.1477,1.3554,0.47047,0.60814,0.5513,0.35303,1.2567,1.4153,1.727,0.00053906,0.00053906,0.00053906
29,0.91946,1.1364,1.3605,0.52434,0.59559,0.56527,0.38406,1.2092,1.2999,1.6893,0.00051706,0.00051706,0.00051706
30,0.8904,1.0749,1.327,0.511,0.56695,0.54899,0.37153,1.2154,1.3567,1.6698,0.00049506,0.00049506,0.00049506
31,0.87836,1.0916,1.3101,0.53024,0.61937,0.5815,0.39532,1.1995,1.2971,1.6631,0.00047306,0.00047306,0.00047306
32,0.87134,1.0511,1.3154,0.63809,0.61635,0.62855,0.43891,1.1562,1.2222,1.6268,0.00045107,0.00045107,0.00045107
33,0.87653,1.0508,1.3234,0.53745,0.57092,0.59756,0.40379,1.1899,1.2698,1.6478,0.00042907,0.00042907,0.00042907
34,0.83959,0.9947,1.2932,0.52159,0.52907,0.55599,0.36959,1.1873,1.3455,1.678,0.00040707,0.00040707,0.00040707
35,0.86334,1.0465,1.3073,0.57713,0.6135,0.57695,0.39813,1.1564,1.2769,1.603,0.00038507,0.00038507,0.00038507
36,0.84152,0.99914,1.2945,0.57703,0.56959,0.58265,0.40708,1.1349,1.3244,1.6269,0.00036307,0.00036307,0.00036307
37,0.83004,0.97588,1.2723,0.60828,0.55487,0.60346,0.41987,1.1314,1.2413,1.6117,0.00034108,0.00034108,0.00034108
38,0.8282,0.97735,1.2804,0.54211,0.63671,0.60025,0.42928,1.1133,1.1713,1.5948,0.00031908,0.00031908,0.00031908
39,0.84079,0.96145,1.294,0.64447,0.52264,0.60868,0.43884,1.0998,1.1874,1.5863,0.00029708,0.00029708,0.00029708
40,0.81709,0.93853,1.2763,0.61324,0.53764,0.59967,0.41636,1.148,1.1924,1.5967,0.00027508,0.00027508,0.00027508
41,0.75015,0.79695,1.2772,0.56375,0.58775,0.56072,0.38368,1.1691,1.324,1.6667,0.00025309,0.00025309,0.00025309
42,0.71843,0.75166,1.2663,0.6112,0.5447,0.61197,0.43182,1.1432,1.1866,1.6443,0.00023109,0.00023109,0.00023109
